source_pair_key,filename,parent_directory,manifest_order,datetime_tag,source_scene,source_group,group_basis
15ms_to_500ms_041,P251621330041.tif,F:\目标传感器噪声参数估计\data\500ms,41,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_042,P251621340042.tif,F:\目标传感器噪声参数估计\data\500ms,42,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_043,P251621340043.tif,F:\目标传感器噪声参数估计\data\500ms,43,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_044,P251621350044.tif,F:\目标传感器噪声参数估计\data\500ms,44,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_045,P251621350045.tif,F:\目标传感器噪声参数估计\data\500ms,45,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_046,P251621360046.tif,F:\目标传感器噪声参数估计\data\500ms,46,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_047,P251621360047.tif,F:\目标传感器噪声参数估计\data\500ms,47,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_048,P251621370048.tif,F:\目标传感器噪声参数估计\data\500ms,48,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_049,P251621370049.tif,F:\目标传感器噪声参数估计\data\500ms,49,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_050,P251621380050.tif,F:\目标传感器噪声参数估计\data\500ms,50,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_051,P251621380051.tif,F:\目标传感器噪声参数估计\data\500ms,51,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_052,P251621390052.tif,F:\目标传感器噪声参数估计\data\500ms,52,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_053,P251621390053.tif,F:\目标传感器噪声参数估计\data\500ms,53,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_054,P251621400054.tif,F:\目标传感器噪声参数估计\data\500ms,54,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_055,P251621400055.tif,F:\目标传感器噪声参数估计\data\500ms,55,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_056,P251621410056.tif,F:\目标传感器噪声参数估计\data\500ms,56,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_057,P251621410057.tif,F:\目标传感器噪声参数估计\data\500ms,57,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_058,P251621420058.tif,F:\目标传感器噪声参数估计\data\500ms,58,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_059,P251621420059.tif,F:\目标传感器噪声参数估计\data\500ms,59,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_060,P251621430060.tif,F:\目标传感器噪声参数估计\data\500ms,60,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_061,P251621430061.tif,F:\目标传感器噪声参数估计\data\500ms,61,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_062,P251621440062.tif,F:\目标传感器噪声参数估计\data\500ms,62,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_063,P251621440063.tif,F:\目标传感器噪声参数估计\data\500ms,63,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_064,P251621450064.tif,F:\目标传感器噪声参数估计\data\500ms,64,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_065,P251621450065.tif,F:\目标传感器噪声参数估计\data\500ms,65,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_066,P251621460066.tif,F:\目标传感器噪声参数估计\data\500ms,66,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_067,P251621460067.tif,F:\目标传感器噪声参数估计\data\500ms,67,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_068,P251621470068.tif,F:\目标传感器噪声参数估计\data\500ms,68,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_069,P251621480069.tif,F:\目标传感器噪声参数估计\data\500ms,69,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_070,P251621480070.tif,F:\目标传感器噪声参数估计\data\500ms,70,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_071,P251621500071.tif,F:\目标传感器噪声参数估计\data\500ms,71,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_072,P251621510072.tif,F:\目标传感器噪声参数估计\data\500ms,72,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_073,P251621510073.tif,F:\目标传感器噪声参数估计\data\500ms,73,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_074,P251621520074.tif,F:\目标传感器噪声参数估计\data\500ms,74,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_075,P251621520075.tif,F:\目标传感器噪声参数估计\data\500ms,75,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_076,P251621530076.tif,F:\目标传感器噪声参数估计\data\500ms,76,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_077,P251621530077.tif,F:\目标传感器噪声参数估计\data\500ms,77,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_078,P251621540078.tif,F:\目标传感器噪声参数估计\data\500ms,78,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_079,P251621540079.tif,F:\目标传感器噪声参数估计\data\500ms,79,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_080,P251621550080.tif,F:\目标传感器噪声参数估计\data\500ms,80,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_081,P251621550081.tif,F:\目标传感器噪声参数估计\data\500ms,81,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_082,P251621560082.tif,F:\目标传感器噪声参数估计\data\500ms,82,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_083,P251621560083.tif,F:\目标传感器噪声参数估计\data\500ms,83,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_084,P251621570084.tif,F:\目标传感器噪声参数估计\data\500ms,84,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_085,P251621570085.tif,F:\目标传感器噪声参数估计\data\500ms,85,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_086,P251621580086.tif,F:\目标传感器噪声参数估计\data\500ms,86,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_087,P251622000087.tif,F:\目标传感器噪声参数估计\data\500ms,87,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_088,P251622000088.tif,F:\目标传感器噪声参数估计\data\500ms,88,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_089,P251622010089.tif,F:\目标传感器噪声参数估计\data\500ms,89,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_090,P251622010090.tif,F:\目标传感器噪声参数估计\data\500ms,90,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_091,P251622020091.tif,F:\目标传感器噪声参数估计\data\500ms,91,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_092,P251622020092.tif,F:\目标传感器噪声参数估计\data\500ms,92,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_093,P251622030093.tif,F:\目标传感器噪声参数估计\data\500ms,93,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_094,P251622030094.tif,F:\目标传感器噪声参数估计\data\500ms,94,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_095,P251622040095.tif,F:\目标传感器噪声参数估计\data\500ms,95,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_096,P251622040096.tif,F:\目标传感器噪声参数估计\data\500ms,96,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_097,P251622050097.tif,F:\目标传感器噪声参数估计\data\500ms,97,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_098,P251622050098.tif,F:\目标传感器噪声参数估计\data\500ms,98,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
15ms_to_500ms_099,P251622060099.tif,F:\目标传感器噪声参数估计\data\500ms,99,,,source_group_unknown,"filename, single parent folder, metadata, and content similarity do not establish scene identity"
