source_pair_key,clean_path,relative_to_parent,file_size_bytes,mtime_ns,sha256,hash_strategy,split
15ms_to_500ms_019,F:\目标传感器噪声参数估计\data\500ms\P251621200019.tif,500ms\P251621200019.tif,8394874,1758788482000000000,3c026d0b87d00818689245cff687a3248e2c6c74004533eccf811e78fff9fcfa,full_file_sha256,train
15ms_to_500ms_020,F:\目标传感器噪声参数估计\data\500ms\P251621220020.tif,500ms\P251621220020.tif,8394874,1758788484000000000,24733436a990319d43e7b1b1841f9e77e0c4dcce7a585e7a8310e865550587d9,full_file_sha256,train
15ms_to_500ms_021,F:\目标传感器噪声参数估计\data\500ms\P251621220021.tif,500ms\P251621220021.tif,8394874,1758788484000000000,544b8c2fe44ccec8b8c966ddfe388801e962f45a53b3739d6267868d51d11c33,full_file_sha256,train
15ms_to_500ms_022,F:\目标传感器噪声参数估计\data\500ms\P251621230022.tif,500ms\P251621230022.tif,8394874,1758788484000000000,21a07294516e3425e06139149ba62c6abba81bd83fca1a069919f1c31dbf87a7,full_file_sha256,train
15ms_to_500ms_023,F:\目标传感器噪声参数估计\data\500ms\P251621230023.tif,500ms\P251621230023.tif,8394874,1758788484000000000,6cf3fe10297504dfa0da2ab005104b218ebf3e70b1b74f0df9d9910e10cdec73,full_file_sha256,train
15ms_to_500ms_024,F:\目标传感器噪声参数估计\data\500ms\P251621240024.tif,500ms\P251621240024.tif,8394874,1758788486000000000,913899c9ef618aae9d219162a410af748eeb9c80f4fc77f93718adf23c526b00,full_file_sha256,train
15ms_to_500ms_025,F:\目标传感器噪声参数估计\data\500ms\P251621240025.tif,500ms\P251621240025.tif,8394874,1758788486000000000,bfa559f3c861bcbabbb18ffe67099c534296def325f2712d3a7e13e042d9e328,full_file_sha256,train
15ms_to_500ms_026,F:\目标传感器噪声参数估计\data\500ms\P251621250026.tif,500ms\P251621250026.tif,8394874,1758788486000000000,91d613b4e3a9e816815f9384742133d551c9732ccbd9edeb5d5cb182f7878638,full_file_sha256,train
15ms_to_500ms_027,F:\目标传感器噪声参数估计\data\500ms\P251621250027.tif,500ms\P251621250027.tif,8394874,1758788486000000000,60b7211563f8f74b2fb8b98c90fe815c936208735bc0087df90d5fec85f3007d,full_file_sha256,train
15ms_to_500ms_028,F:\目标传感器噪声参数估计\data\500ms\P251621260028.tif,500ms\P251621260028.tif,8394874,1758788488000000000,c7fbea10827903103c51042a440d68b9cec02c34f14799c6e9232aa096cace22,full_file_sha256,train
15ms_to_500ms_029,F:\目标传感器噪声参数估计\data\500ms\P251621260029.tif,500ms\P251621260029.tif,8394874,1758788488000000000,b7d8ddbef185fddbccc89c00398b65f7cc320ad9b53f5f231f3698755139436d,full_file_sha256,train
15ms_to_500ms_030,F:\目标传感器噪声参数估计\data\500ms\P251621280030.tif,500ms\P251621280030.tif,8394874,1758788490000000000,3785b8aaf874dc2a30cc7a112d50d0aa43c42b0dc7c860d0ceddfae2aeb57c16,full_file_sha256,train
15ms_to_500ms_031,F:\目标传感器噪声参数估计\data\500ms\P251621280031.tif,500ms\P251621280031.tif,8394874,1758788490000000000,02d14c53cccac9fd810f6c4095b2e002e7fe0c901d1ad3d694ccbccfa7363b3a,full_file_sha256,train
15ms_to_500ms_032,F:\目标传感器噪声参数估计\data\500ms\P251621290032.tif,500ms\P251621290032.tif,8394874,1758788490000000000,4d988a34cb154162e6e2ad51819120036845ff168bdf3db57a0a1804af9a321d,full_file_sha256,train
15ms_to_500ms_033,F:\目标传感器噪声参数估计\data\500ms\P251621290033.tif,500ms\P251621290033.tif,8394874,1758788490000000000,9f17e6737fab3d528aa853b2e5e67df848b74f9cddec637c9421dbace65cb113,full_file_sha256,test
15ms_to_500ms_034,F:\目标传感器噪声参数估计\data\500ms\P251621300034.tif,500ms\P251621300034.tif,8394874,1758788492000000000,8f84cdd9702f645cd4deff0de8823f5451b43d13758cf789b7278cd287538b67,full_file_sha256,test
15ms_to_500ms_035,F:\目标传感器噪声参数估计\data\500ms\P251621300035.tif,500ms\P251621300035.tif,8394874,1758788492000000000,bb9413b7cfc55de62a15b7c314f4a54689b85a8fcbb953c8aabc9ca175c932fa,full_file_sha256,train
15ms_to_500ms_036,F:\目标传感器噪声参数估计\data\500ms\P251621310036.tif,500ms\P251621310036.tif,8394874,1758788492000000000,5684679a9f57db6b8e3b4cebf6956b169fbc9ae8759ff77c443e88c25c46baea,full_file_sha256,train
15ms_to_500ms_037,F:\目标传感器噪声参数估计\data\500ms\P251621310037.tif,500ms\P251621310037.tif,8394874,1758788492000000000,d8740df78e2e3181bff4aecf615900a6f456deac903be96db9507ce9d43fd6dc,full_file_sha256,train
15ms_to_500ms_038,F:\目标传感器噪声参数估计\data\500ms\P251621320038.tif,500ms\P251621320038.tif,8394874,1758788494000000000,f641acc89f25e3e1820886e34eb82963a5933b835617f80683b39b9e339c4239,full_file_sha256,val
15ms_to_500ms_039,F:\目标传感器噪声参数估计\data\500ms\P251621320039.tif,500ms\P251621320039.tif,8394874,1758788494000000000,05611d14de8a7f55c91027aeec6e105a60c913bda2924477afd9445b5326c413,full_file_sha256,train
15ms_to_500ms_040,F:\目标传感器噪声参数估计\data\500ms\P251621330040.tif,500ms\P251621330040.tif,8394874,1758788494000000000,242fbca059c1fb5b8eacf593a769205f468e5bea2f6bd9400ed7d229a40f2034,full_file_sha256,train
15ms_to_500ms_041,F:\目标传感器噪声参数估计\data\500ms\P251621330041.tif,500ms\P251621330041.tif,8394874,1758788494000000000,c894512484088b9fd6b54c49e184addcc557a291a6feb6b2efdb421cdf5a0690,full_file_sha256,train
15ms_to_500ms_042,F:\目标传感器噪声参数估计\data\500ms\P251621340042.tif,500ms\P251621340042.tif,8394874,1758788496000000000,391d11675d4e6ef06e8e1d6b0236238caa8bcc8463fd0029127e234f84ee3bf5,full_file_sha256,train
15ms_to_500ms_043,F:\目标传感器噪声参数估计\data\500ms\P251621340043.tif,500ms\P251621340043.tif,8394874,1758788496000000000,0c91b77d0afb5918843b5b9b4429f5bc14a1ef568a1a61de477383e2797b6300,full_file_sha256,train
15ms_to_500ms_044,F:\目标传感器噪声参数估计\data\500ms\P251621350044.tif,500ms\P251621350044.tif,8394874,1758788496000000000,3d0299eaf817a0e7cf4fc96108f839fc8bb80a2d468f6af7e328a098986ce7ee,full_file_sha256,train
15ms_to_500ms_045,F:\目标传感器噪声参数估计\data\500ms\P251621350045.tif,500ms\P251621350045.tif,8394874,1758788496000000000,ee5ed337ac8d2e8a6153d8f281c9458ac1c91a15b50fafe8f7dedc5964f344fe,full_file_sha256,train
15ms_to_500ms_046,F:\目标传感器噪声参数估计\data\500ms\P251621360046.tif,500ms\P251621360046.tif,8394874,1758788498000000000,dfa766adef5f1dd3eee4e734eada75c72ebace30dd1f4047f418a23ace372c99,full_file_sha256,train
15ms_to_500ms_047,F:\目标传感器噪声参数估计\data\500ms\P251621360047.tif,500ms\P251621360047.tif,8394874,1758788498000000000,0a5191d88c7a85afa1a4102c8945cff36f44ebb5cab311a4443905aa141c0092,full_file_sha256,train
15ms_to_500ms_048,F:\目标传感器噪声参数估计\data\500ms\P251621370048.tif,500ms\P251621370048.tif,8394874,1758788498000000000,5d2b83eaa00bdcc33ed0d6fd4d13064a9de7eda2b0ce31e9ae1510128f329b4f,full_file_sha256,train
15ms_to_500ms_049,F:\目标传感器噪声参数估计\data\500ms\P251621370049.tif,500ms\P251621370049.tif,8394874,1758788498000000000,3ad376e0eb6f7cff9b6415cf55b35c4a062deadb97e8091517a9acab3461d13c,full_file_sha256,train
15ms_to_500ms_050,F:\目标传感器噪声参数估计\data\500ms\P251621380050.tif,500ms\P251621380050.tif,8394874,1758788500000000000,63a97b6c9a8b9b7bd50768c2b46dbb8f61e22877c85febd648f0d7a1fdd8daa3,full_file_sha256,train
15ms_to_500ms_051,F:\目标传感器噪声参数估计\data\500ms\P251621380051.tif,500ms\P251621380051.tif,8394874,1758788500000000000,7b3cb9ca2e76630b748a095e3ca86bb3a8ce4c1ad6fa4c1a74689114e651d097,full_file_sha256,train
15ms_to_500ms_052,F:\目标传感器噪声参数估计\data\500ms\P251621390052.tif,500ms\P251621390052.tif,8394874,1758788500000000000,c53d3811c637383c24f6bf2fc2e55533bfb795affd1de671905cdaa127e241d9,full_file_sha256,train
15ms_to_500ms_053,F:\目标传感器噪声参数估计\data\500ms\P251621390053.tif,500ms\P251621390053.tif,8394874,1758788500000000000,2422c0b8c94918bc586a66fbe45d12cfb5dfc216b1ca9e3530ddd19a54ff85f8,full_file_sha256,train
15ms_to_500ms_054,F:\目标传感器噪声参数估计\data\500ms\P251621400054.tif,500ms\P251621400054.tif,8394874,1758788502000000000,aafe087e83fdac886ec774a94a239e2e285f6f362d8b8b2ae8777e3f6af46d96,full_file_sha256,train
15ms_to_500ms_055,F:\目标传感器噪声参数估计\data\500ms\P251621400055.tif,500ms\P251621400055.tif,8394874,1758788502000000000,210bc2148032d27650103837e1ab88f15a21e145d7a7131c7f62b86898cfd9d1,full_file_sha256,train
15ms_to_500ms_056,F:\目标传感器噪声参数估计\data\500ms\P251621410056.tif,500ms\P251621410056.tif,8394874,1758788502000000000,77248521468a2565006819c18e4d9f8795127e3fafd89b65f1b5c9d2121afa75,full_file_sha256,train
15ms_to_500ms_057,F:\目标传感器噪声参数估计\data\500ms\P251621410057.tif,500ms\P251621410057.tif,8394874,1758788502000000000,f82c419c39cff79029799b90e54e1a69d78f5876310a351b83ea80efe6634116,full_file_sha256,train
15ms_to_500ms_058,F:\目标传感器噪声参数估计\data\500ms\P251621420058.tif,500ms\P251621420058.tif,8394874,1758788504000000000,23cfd970fcb9d4cee45fdd4f7f64453ccbe5667f73d86d32e0c61fb73520641a,full_file_sha256,train
15ms_to_500ms_059,F:\目标传感器噪声参数估计\data\500ms\P251621420059.tif,500ms\P251621420059.tif,8394874,1758788504000000000,563260890a53d7f2d62cadff93437d9e04e116a04b85fa41e5817d170a16c7bd,full_file_sha256,train
15ms_to_500ms_060,F:\目标传感器噪声参数估计\data\500ms\P251621430060.tif,500ms\P251621430060.tif,8394874,1758788504000000000,9a3fa624a04c0aac4c3d63ddc70af230ef567d98f6b655e906c02b60038e87b3,full_file_sha256,train
15ms_to_500ms_061,F:\目标传感器噪声参数估计\data\500ms\P251621430061.tif,500ms\P251621430061.tif,8394874,1758788504000000000,28f928f6fc9d1cba6ef76a37e50564aabdcc5ff73ff602c447aa664aca7fb6c4,full_file_sha256,train
15ms_to_500ms_062,F:\目标传感器噪声参数估计\data\500ms\P251621440062.tif,500ms\P251621440062.tif,8394874,1758788506000000000,6636dfeb852ac2bf0586c2366d337a9f29c0ef67ed340d289470ba45a88ef109,full_file_sha256,train
15ms_to_500ms_063,F:\目标传感器噪声参数估计\data\500ms\P251621440063.tif,500ms\P251621440063.tif,8394874,1758788506000000000,61f607f7ae1ec8a287105e06cc3dda01a816e3fde5a8b5ec05127e22b36717c5,full_file_sha256,train
15ms_to_500ms_064,F:\目标传感器噪声参数估计\data\500ms\P251621450064.tif,500ms\P251621450064.tif,8394874,1758788506000000000,cf0b0c9fc48c2714edce3f2bd8ee58ccbe6576f1a67db475c8a3eb9f41231e3f,full_file_sha256,train
15ms_to_500ms_065,F:\目标传感器噪声参数估计\data\500ms\P251621450065.tif,500ms\P251621450065.tif,8394874,1758788506000000000,6664cd851a07a32b55f889de14cb1c8a40d385cf8595666ef0f150132261eb1b,full_file_sha256,train
15ms_to_500ms_066,F:\目标传感器噪声参数估计\data\500ms\P251621460066.tif,500ms\P251621460066.tif,8394874,1758788508000000000,02c46a70fc25bd849903958a1efe98f69fa2496d2391c181c61dee187bebe4c7,full_file_sha256,train
15ms_to_500ms_067,F:\目标传感器噪声参数估计\data\500ms\P251621460067.tif,500ms\P251621460067.tif,8394874,1758788508000000000,2b3c728264962b69219c0c2b246490991b8a39f47eae5a04d63bfbad009240e0,full_file_sha256,train
15ms_to_500ms_068,F:\目标传感器噪声参数估计\data\500ms\P251621470068.tif,500ms\P251621470068.tif,8394874,1758788508000000000,89e27d674b8fb8ec3dad23bdac591203364adf0717352535dd909a01e3b7cb31,full_file_sha256,train
15ms_to_500ms_069,F:\目标传感器噪声参数估计\data\500ms\P251621480069.tif,500ms\P251621480069.tif,8394874,1758788510000000000,664e781cb0d7a318f90086fcb024061b39deaceaa5e970c3c266a774b79d5f1b,full_file_sha256,val
15ms_to_500ms_070,F:\目标传感器噪声参数估计\data\500ms\P251621480070.tif,500ms\P251621480070.tif,8394874,1758788510000000000,bf666a0891bd11532ffbc036122600e2a706637e2f9fa407a5cb4a6cf50e1724,full_file_sha256,train
15ms_to_500ms_071,F:\目标传感器噪声参数估计\data\500ms\P251621500071.tif,500ms\P251621500071.tif,8394874,1758788512000000000,813d00f8216945b1af0e458e1baa3278356a6716c4200ed2ffaee4031b646d85,full_file_sha256,train
15ms_to_500ms_072,F:\目标传感器噪声参数估计\data\500ms\P251621510072.tif,500ms\P251621510072.tif,8394874,1758788512000000000,5f6ff78994ab68eb4f64bd0a8d2727e2c8f4a4967f63f499d314740779a6b201,full_file_sha256,train
15ms_to_500ms_073,F:\目标传感器噪声参数估计\data\500ms\P251621510073.tif,500ms\P251621510073.tif,8394874,1758788512000000000,bf0fdae7addedf1cd4f8832515a618d14cc066cad4615ea621117c4da27b486b,full_file_sha256,train
15ms_to_500ms_074,F:\目标传感器噪声参数估计\data\500ms\P251621520074.tif,500ms\P251621520074.tif,8394874,1758788514000000000,e1caec4480b61da41209cbc0e50606e4a35aba90cc3007e51787c017f57f59a1,full_file_sha256,test
15ms_to_500ms_075,F:\目标传感器噪声参数估计\data\500ms\P251621520075.tif,500ms\P251621520075.tif,8394874,1758788514000000000,c3d7f558423ca717ad2d8ed958171b42cdc882a30211bf96a403e12531478c7e,full_file_sha256,train
15ms_to_500ms_076,F:\目标传感器噪声参数估计\data\500ms\P251621530076.tif,500ms\P251621530076.tif,8394874,1758788514000000000,59f21143a38eba488b9049ec54e410b8c4e8b394d36808534b98cb691a28e727,full_file_sha256,train
15ms_to_500ms_077,F:\目标传感器噪声参数估计\data\500ms\P251621530077.tif,500ms\P251621530077.tif,8394874,1758788514000000000,7ccc9c07a62fb7773a8042c80e204819e703ad342d2eeec6ff7277314d25bca5,full_file_sha256,train
15ms_to_500ms_078,F:\目标传感器噪声参数估计\data\500ms\P251621540078.tif,500ms\P251621540078.tif,8394874,1758788516000000000,5315e9cebc56b570be1b3553d99d7b20cec839b46df438d886d0b23bad32475f,full_file_sha256,train
15ms_to_500ms_079,F:\目标传感器噪声参数估计\data\500ms\P251621540079.tif,500ms\P251621540079.tif,8394874,1758788516000000000,aa25ba90cffa8319ff36e73836dee9ab6f2a3b519bdf940a5c9d214654aa7fda,full_file_sha256,train
15ms_to_500ms_080,F:\目标传感器噪声参数估计\data\500ms\P251621550080.tif,500ms\P251621550080.tif,8394874,1758788516000000000,12d515bdd6b81783642acd445adc24da0b5f053d7c4082a18baca947c4f431f0,full_file_sha256,train
15ms_to_500ms_081,F:\目标传感器噪声参数估计\data\500ms\P251621550081.tif,500ms\P251621550081.tif,8394874,1758788516000000000,46fb0b17ecc1cc1d575b425767b96361eaab21b58026136b4e15ba1ae5e23f89,full_file_sha256,train
15ms_to_500ms_082,F:\目标传感器噪声参数估计\data\500ms\P251621560082.tif,500ms\P251621560082.tif,8394874,1758788518000000000,edb02518e6ec8606941ac70dd33b4e4d7a1b6c1bef7bf8720a7898efc291d56c,full_file_sha256,test
15ms_to_500ms_083,F:\目标传感器噪声参数估计\data\500ms\P251621560083.tif,500ms\P251621560083.tif,8394874,1758788518000000000,b6be624c2af690553efaaceb9352173476e8d4ec70f6328f0265df168eb72bf0,full_file_sha256,train
15ms_to_500ms_084,F:\目标传感器噪声参数估计\data\500ms\P251621570084.tif,500ms\P251621570084.tif,8394874,1758788518000000000,3822cb361cbff2e6050d0824da5320aab873d44b244f61cfe122640e12b73bb6,full_file_sha256,train
15ms_to_500ms_085,F:\目标传感器噪声参数估计\data\500ms\P251621570085.tif,500ms\P251621570085.tif,8394874,1758788518000000000,6f00ad96a022cb36e907f9b8dce7bc66428c333ed21da120e1f57f31f887ccb0,full_file_sha256,train
15ms_to_500ms_086,F:\目标传感器噪声参数估计\data\500ms\P251621580086.tif,500ms\P251621580086.tif,8394874,1758788520000000000,b8fd37abccef9029bda632dde7dccb1ca77512976e84fcf4dad556412a3a3dd8,full_file_sha256,val
15ms_to_500ms_087,F:\目标传感器噪声参数估计\data\500ms\P251622000087.tif,500ms\P251622000087.tif,8394874,1758788522000000000,4673a76b46eceb960c3cff4caf31618877b174d259f5cd3f05d66f6d347bc6cd,full_file_sha256,train
15ms_to_500ms_088,F:\目标传感器噪声参数估计\data\500ms\P251622000088.tif,500ms\P251622000088.tif,8394874,1758788522000000000,ec3826d99261c49304ff1d17a9c047bddc5d422fd5e37e9c2bd0b4d84b7a4177,full_file_sha256,train
15ms_to_500ms_089,F:\目标传感器噪声参数估计\data\500ms\P251622010089.tif,500ms\P251622010089.tif,8394874,1758788522000000000,442f902bb0636da20fd64237511becf3bafc48f97b72ba9228e0cb3d57d03eec,full_file_sha256,train
15ms_to_500ms_090,F:\目标传感器噪声参数估计\data\500ms\P251622010090.tif,500ms\P251622010090.tif,8394874,1758788522000000000,cacf549f7e1db7582e409b57ada6f0bb28c00daa8862c5b9d5ee31286ea773a4,full_file_sha256,val
15ms_to_500ms_091,F:\目标传感器噪声参数估计\data\500ms\P251622020091.tif,500ms\P251622020091.tif,8394874,1758788524000000000,e4a43968f31edfcbc4170be6bb060edf3e3d240751a8aa56058ede52ed5916eb,full_file_sha256,train
15ms_to_500ms_092,F:\目标传感器噪声参数估计\data\500ms\P251622020092.tif,500ms\P251622020092.tif,8394874,1758788524000000000,6a08959cf383d051b38fa6e2808f93f4783a3b3fdcef57f44e7c25bf7c35fe47,full_file_sha256,train
15ms_to_500ms_093,F:\目标传感器噪声参数估计\data\500ms\P251622030093.tif,500ms\P251622030093.tif,8394874,1758788524000000000,137b23d22671ccdb0d5b22223156f94fcf8323b14f8edceb87f4190b0f3eb813,full_file_sha256,train
15ms_to_500ms_094,F:\目标传感器噪声参数估计\data\500ms\P251622030094.tif,500ms\P251622030094.tif,8394874,1758788524000000000,4a9ecee0488459cc37e8863d8d2430b6f07d753cac4c4ab99eb17082d313e040,full_file_sha256,train
15ms_to_500ms_095,F:\目标传感器噪声参数估计\data\500ms\P251622040095.tif,500ms\P251622040095.tif,8394874,1758788526000000000,f759608f65bafb8313562aa94f319e49230cb0944dc455328dd490178796d9df,full_file_sha256,val
15ms_to_500ms_096,F:\目标传感器噪声参数估计\data\500ms\P251622040096.tif,500ms\P251622040096.tif,8394874,1758788526000000000,02aaffa2527faef5539d1b9d9100aceb38fc6870379cd83789651d273a23b212,full_file_sha256,train
15ms_to_500ms_097,F:\目标传感器噪声参数估计\data\500ms\P251622050097.tif,500ms\P251622050097.tif,8394874,1758788526000000000,3a42aa1222393e68d35b40d7107aa5824850266525038ec5d3c35d4b02881d1a,full_file_sha256,train
15ms_to_500ms_098,F:\目标传感器噪声参数估计\data\500ms\P251622050098.tif,500ms\P251622050098.tif,8394874,1758788526000000000,9c0106814b86766ec57a705b0d381ebf93c5c2fe8de6380a5f3e72e07cb790fb,full_file_sha256,train
15ms_to_500ms_099,F:\目标传感器噪声参数估计\data\500ms\P251622060099.tif,500ms\P251622060099.tif,8394874,1758788528000000000,e1cba38611d11f6951389dfdce74c2389b206b8d3c98a0e54b1fc8c1a277d259,full_file_sha256,train
